Carrier,State,Name
1011200,AL,ALABAMA
1021201,GA,"ATLANTA, GA"
1021299,GA,REST OF GEORGIA
0710213,AR,ARKANSAS
0421205,NM,NEW MEXICO
0431200,OK,OKLAHOMA
0530201,MO,"METROPOLITAN ST. LOUIS, MO"
0720201,LA,"NEW ORLEANS, LA"
0720299,LA,REST OF LOUISIANA
1210201,DE,DELAWARE
1220201,DC,DC + MD/VA SUBURBS
0910203,FL,"FORT LAUDERDALE, FL"
0910204,FL,"MIAMI, FL"
0910299,FL,REST OF FLORIDA
0810200,IN,INDIANA
0510200,IA,IOWA
0520200,KS,KANSAS
0540200,NE,NEBRASKA
1510200,KY,KENTUCKY
0530202,MO,"METROPOLITAN KANSAS CITY, MO"
0530299,MO,REST OF MISSOURI*
0320201,MT,MONTANA
1328299,NY1,REST OF NEW YORK
1320201,NY2,"MANHATTAN, NY"
1320202,NY2,"NYC SUBURBS/LONG I., NY"
1320203,NY2,"POUGHKPSIE/N NYC SUBURBS, NY"
1240201,NJ,NORTHERN NJ
1240299,NJ,REST OF NEW JERSEY
0330201,ND,NORTH DAKOTA
0340202,SD,SOUTH DAKOTA
0360221,WY,WYOMING
0240202,WA,"SEATTLE (KING CNTY), WA"
0240299,WA,REST OF WASHINGTON
0210201,AK,ALASKA
0310200,AZ,ARIZONA
0131200,NV,NEVADA
0411201,CO,COLORADO
0121201,HI,HAWAII/GUAM
0230201,OR,"PORTLAND, OR"
0230299,OR,REST OF OREGON
1250201,PA,"METROPOLITAN PHILADELPHIA, PA"
1250299,PA,REST OF PENNSYLVANIA
1441201,RI,RHODE ISLAND
1120201,SC,SOUTH CAROLINA
0441209,TX,"BRAZORIA, TX"
0441211,TX,"DALLAS, TX"
0441215,TX,"GALVESTON, TX"
0441218,TX,"HOUSTON, TX"
0441220,TX,"BEAUMONT, TX"
0441228,TX,"FORT WORTH, TX"
0441231,TX,"AUSTIN, TX"
0441299,TX,REST OF TEXAS
1230201,MD,"BALTIMORE/SURR. CNTYS, MD"
1230299,MD,REST OF MARYLAND
0350209,UT,UTAH
0630200,WI,WISCONSIN
0610212,IL,"EAST ST. LOUIS, IL"
0610215,IL,"SUBURBAN CHICAGO, IL"
0610216,IL,"CHICAGO, IL"
0610299,IL,REST OF ILLINOIS
0820201,MI,"DETROIT, MI"
0820299,MI,REST OF MICHIGAN
0920220,PRV,PUERTO RICO
0920250,PRV,VIRGIN ISLANDS
0118217,CA2,"VENTURA, CA"
0118218,CA2,"LOS ANGELES, CA"
0118226,CA2,"ANAHEIM/SANTA ANA, CA"
0118271,CA2,EL CENTRO
0118272,CA2,SAN DIEGO - CARSLBAD
0118273,CA2,SAN LUIS OBISPO-PASO ROBLES-ARROYO GRANDE
0118274,CA2,SANTA MARIA-SANTA BARBARA
0118275,CA2,REST OF STATE
0220200,ID,IDAHO
1031235,TN,TENNESSEE
1150200,NC,NORTH CAROLINA
1310200,CT,CONNECTICUT
0620200,MN,MINNESOTA
0730200,MS,MISSISSIPPI
1130200,VA,VIRGINIA
1329204,NY3,"QUEENS, NY"
1520200,OH,OHIO
1140216,WV,WEST VIRGINIA
0111205,CA1,"SAN FRANCISCO, CA"
0111206,CA1,"SAN MATEO, CA"
0111207,CA1,"OAKLAND/BERKELEY, CA"
0111209,CA1,"SANTA CLARA, CA"
0111251,CA1,NAPA
0111252,CA1,SAN FRANCISCO-OAKLAND-HAYWARD (MARIN CNTY)
0111253,CA1,VALLEJO-FAIRFIELD
0111254,CA1,BAKERSFIELD
0111255,CA1,CHICO
0111256,CA1,FRESNO
0111257,CA1,HANFORD-CORCORAN
0111258,CA1,MADERA
0111259,CA1,MERCED
0111260,CA1,MODESTO
0111261,CA1,REDDING
0111262,CA1,RIVERSIDE-SAN BERNARDINO-ONTARIO
0111263,CA1,SACRAMENTO--ROSEVILLE--ARDEN-ARCADE
0111264,CA1,SALINAS
0111265,CA1,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY)
0111266,CA1,SANTA CRUZ-WATSONVILLE
0111267,CA1,SANTA ROSA
0111268,CA1,STOCKTON-LODI
0111269,CA1,VISALIA-PORTERVILLE
0111270,CA1,YUBA CITY
1411203,ME,SOUTHERN MAINE
1411299,ME,REST OF MAINE
1421201,MA,METROPOLITAN BOSTON
1421299,MA,REST OF MASSACHUSETTS
1431240,NH,NEW HAMPSHIRE
1451250,VT,VERMONT
